0.1045	0.4201	The Future Continuous is used:
0.1127	0.6991	Future Continuous
0.1168	0.8663	Use
0.1230	0.0203	Future Continuous
0.1458	0.4230	• for an action which will be in
0.1537	0.6948	actions in progress at
0.1619	0.8634	The future continuous is used:
0.1697	0.4317	progress at a stated future time.
0.1844	0.0407	Affirmative
0.1844	0.1424	Negative
0.1803	0.6948	a stated future time
0.1865	0.2282	Interrogative
0.1866	0.8648	• Tor an action which will be in progress at a stated
0.2029	0.8721	future time.
0.2111	0.6948	He'll be sunbathing in
0.2254	0.0262	I will be working
0.2275	0.1090	I will not (won't) be working
0.2254	0.2209	Will I be working?
0.2338	0.4637	At 12 o'clock next Saturday, III
0.2377	0.6933	Hawaii this time next
0.2541	0.0262	You will be working
0.2541	0.1090	You will not (won't) be working
0.2541	0.2209	Will you be working?
0.2602	0.4680	be fishing with my grandson.
0.2664	0.6948	week.
0.2831	0.0262	He will be working
0.2848	0.1090	He will not (won't) be working
0.2831	0.2195	Will he be working?
0.3113	0.0276	She will be working
0.3113	0.1105	She will not (won't) be working
0.3113	0.2209	Will she be working?
0.3218	0.4230	• for an action which will definitely
0.3402	0.0262	It will be working
0.3402	0.1090	It will not (won't) be working
0.3402	0.2195	Will it be working?
0.3422	0.4302	happen in the future as the result of
0.3690	0.0276	We will be working
0.3711	0.1090	We will not (won't) be working
0.3690	0.2209	Will we be working?
0.3648	0.4302	a rouuine or arrancement
0.3606	0.6933	actions which are the
0.3711	0.8735	This time next wook, I'll be skiing in Austria.
0.3893	0.6948	result of a routine
0.3976	0.0262	You will be working
0.3976	0.1090	You will not (won't) be working
0.3997	0.2195	Will you be working?
0.4035	0.8663	• for an action which will definitely happen in the
0.4162	0.4608	I can give your message to Sue.
0.4183	0.6948	(instead of the Present
0.4262	0.0276	They will be working
0.4262	0.1090	They will not (won't) be working
0.4262	0.2209	Will they be working?
0.4204	0.8735	future as the result of a routine or arrangement.
0.4406	0.4608	I'll be seeing her later on today.
0.4467	0.6947	Continuous)
0.4529	0.8561	Shall!
0.4693	0.8488	inform the res
0.4775	0.6948	I'll be seeing John
0.4894	0.4230	• when we ask politely about someone's plans for the near future.
0.4875	0.8488	or une toamin
0.5042	0.6948	tomorrow. (We work in
0.5106	0.4317	(What we want to know is if our wishes fit in with their plans.)
0.5328	0.6933	the same office so we'll
0.5615	0.6948	definitely meet.)
0.5776	0.9288	No. Il do a. Tll be seeino
0.5965	0.9259	them at the meeting anyway.
0.6294	0.0422	Future Continuous
0.6247	0.8735	(They have a meeting every week. He will detinitely
0.6310	0.4680	Will you be
0.6458	0.5887	Yes. Why?
0.6436	0.8735	soo tne rest or the tear bocause as aready plannod.
0.6557	0.4637	driving to the
0.6739	0.8677	• when we ask politely about someone's plans
0.6803	0.4622	party tonight?
0.6866	0.6948	when we ask politely
0.6908	0.8765	or the near future (What we want to know is If
0.7090	0.0465	FORM
0.7131	0.6933	about people's
0.7087	0.8750	our wisnes uir in wit tneir plans.).
0.7398	0.5305	Could you give me
0.7439	0.6948	arrangements to see if
0.7421	0.8721	WIll YOU DE
0.7561	0.0480	1/He/They will ('II) be working.
0.7641	0.5349	a lift, please?
0.7602	0.8663	going out later?
0.7725	0.6948	they can do sth for us
0.7889	0.0494	Will I/he/they be working? Yes, I/he/they will.
0.7992	0.6948	or because we want to
0.8218	0.0494	No, I/he/they won't.
0.8282	0.6948	offer to do sth for
0.8567	0.0480	l/He/They will not (won't) be working.
0.8566	0.6948	them
0.8542	0.8605	get me a sand
0.8690	0.8605	wich, please?
0.8852	0.6948	Will you be going to the
0.9141	0.6948	supermarket? Can you
0.9426	0.6948	buy me some tea?
